,Ctrl-1,Ctrl-2,SHED-1,SHED-2
Psmd11,0.15251860175021,0.163122257113895,0.186259515653151,0.175480052733799
Rpl15,0.198542279743627,0.184974380016312,0.142547181745783,0.190972911037864
Isoc2a,0.141023089192768,0.15515946804788,0.229672790500027,0.156832602433936
H3f3a,0.200077861503867,0.201645432242422,0.100317591758241,0.164974320983193
Gaa,0.155215618903029,0.15157469509933,0.19050726264922,0.177782133586537
Psme1,0.196558731656453,0.182818054084359,0.171011460343944,0.169799447084674
Canx,0.19067028552403,0.179102346031272,0.126528836326737,0.182769051673047
Cox7a2,0.165989604124862,0.152711912625656,0.176779804028131,0.187697717789389
H1f2,0.206366682274865,0.209343184023236,0.107926331285477,0.181190492963036
Rpl13,0.189797312684062,0.198412914105355,0.0991672195015566,0.179105687484042
Eef1d,0.156360984194094,0.168476732126308,0.187882778515548,0.183387902537435
Alad,0.171559726638797,0.154789229510762,0.211838079306932,0.199695211836284
Por,0.183515883109743,0.189374715505443,0.132637161549581,0.174569742204322
Cyp2d22,0.176219335511063,0.183213556166944,0.132427193453063,0.168648642244976
Pah,0.156492530382996,0.175484927240069,0.18188059646678,0.173036469505039
Srsf3,0.164525969271622,0.161180315592592,0.201958172414197,0.173279807872981
Ywhab,0.172603858802663,0.185639628532175,0.167235140910946,0.135894499554983
Hint2,0.17010623745672,0.16440043157905,0.191211961810558,0.165891196079812
Hibch,0.1641233045302,0.1673991037058,0.193249878620702,0.176914460078545
Dlg1,0.186222127529894,0.244966595224464,0.106455890811845,0.14715055258613
Ndufa9,0.186216299366117,0.17375066209458,0.14975970227376,0.179283395025947
Car2,0.171927817939805,0.156574820279374,0.179279259922979,0.199151603315055
1110004F10Rik,0.159577510637009,0.106862222720283,0.126691703140475,0.160495072221991
Abcb11,0.200111176533451,0.176167982700961,0.125703688327651,0.152523519675276
Gss,0.158570504167835,0.162183897900132,0.173852753349743,0.185321616433138
Eno1b,0.178098236741521,0.164596304389856,0.196546493373902,0.176855503635862
Tubb4b,0.17192161005983,0.159522991814027,0.201051342434483,0.166057245043353
Pdha1,0.189450590869735,0.170623450559582,0.188058815718494,0.156066174681484
Pcbd1,0.182257343897449,0.183014712949006,0.151062949780402,0.179438728228384
Bcap31,0.3000734059758,0.177881250395735,0.131457492679447,0.173754151455468
Cyp2c29,0.179881024163523,0.172162277759058,0.130157004992538,0.181714962446465
Cyb5b,0.228275466796214,0.195040804071535,0.123534879603889,0.184636951420583
Immt,,,,
Pdia3,0.177489938640162,0.157220629833891,0.177789723828018,0.204603568349822
Crot,0.160297508796159,0.148035639639219,0.202771157845352,0.174075682038265
Grpel1,0.159449733428723,0.169238164263214,0.173186462415535,0.207523890563723
Rps28,0.17925410491671,0.178982082888667,0.167453068596678,0.16446904256807
Urah,0.159987559629164,0.171013863199275,0.226380972991647,0.174913981719735
Got2,0.166337151564952,0.15222513409979,0.20958276824788,0.154921646935749
Pnp,0.157352063340519,0.166332031297691,0.196541203359639,0.187336066481959
Ephx2,0.15827386855413,0.1546958766592,0.191168561099235,0.165577511101701
Psmc4,0.155710096676731,0.154534521359353,0.186938637275808,0.177883392912635
Tubb5,0.156899102921753,0.16819973980765,0.16633908745079,0.186127715697719
Myh9,0.17740375200268,0.193791538034577,0.154513396239104,0.17229683284094
Acot2,0.156061743803455,0.171858871306355,0.183818942723097,0.168730012537586
Psma5,0.150957651605456,0.184528645874054,0.18266266437343,0.193500750443718
Entpd5,0.17778401817659,0.179468343293674,0.16985996495955,0.171496769448075
Decr1,0.163487565704547,0.163940714458053,0.196861557049376,0.163665131898219
Lgmn,0.156165619597875,0.16253305267762,0.173892895013412,0.227061448785176
Hba-a1,0.155841208971557,0.170564078438922,0.169620805789102,0.234443259803702
Apoc3,0.16216676898307,0.163612143407676,0.20380864625481,0.172493084793515
Tpi1,0.158419646689376,0.184282475488844,0.198792447678542,0.172696253907896
Hint1,0.170783129471492,0.165994381718363,0.186887171153191,0.174565447860624
Ndufv3,0.179285738953769,0.168874428639886,0.217737970058379,0.161341339892245
Slc25a3,0.188245581685467,0.17869232994916,0.112601339902465,0.173788724607631
Srsf1,0.154982099310544,0.16797117705646,0.173318095726183,0.182638052583471
Otc,0.163329322993363,0.149848289496825,0.198628684654078,0.154749591889443
Tuba1b,0.1610722761315,0.159331217205057,0.174572016213249,0.176444460531714
Glul,0.202432755445439,0.180569809495505,0.172796400770083,0.175429052165036
Eif5a,0.152122820514722,0.172450325315791,0.187404693621058,0.189445741523498
Adh1,0.159039868605316,0.148511414035008,0.252730578175853,0.163053571947627
Cyp2d10,0.170680819384825,0.173706770849629,0.14878112088438,0.157281786558992
Adh5,0.166241803243486,0.155171250143571,0.217576881836364,0.156422214998099
Sult2a1,0.151220679531294,0.152747588845899,0.182575594187391,0.231244913758431
Rida,0.170919644276493,0.158236845112781,0.19741062088489,0.164297409228075
Atp5j2,0.176197584089758,0.169449303106465,0.130956600987885,0.17734120589178
Pebp1,0.168455487221936,0.155270953375908,0.208925175736377,0.172923774999336
Rab11b,0.189183845705589,0.176868830868529,0.133956037992776,0.174962808113413
Rpl28,0.183826700147548,0.176848326951327,0.150752287936442,0.160880171774355
Clybl,0.168407064340775,0.169028263336831,0.189594381128758,0.165549028640611
Idh3a,0.167843027258543,0.1696412614203,0.165343194632464,0.219292501731588
Glud1,0.18663367811233,0.174480252792927,0.171519671223367,0.166614894259259
Eci2,0.160312516171677,0.167507052218785,0.179303189139261,0.177908494141108
Cyp1a2,0.186376700025424,0.178446463784476,0.149948262990145,0.178986115543436
B2m,0.209210469156793,0.167709236198196,0.163251689865329,0.179627457051609
Ptma,0.225460559910383,0.219588680489372,0.158366132596033,0.163522204285886
A0A140T8T4,0.187970772411578,0.187592859701626,0.143665433117113,0.155668856519738
Comt,0.157733175831453,0.162132887683213,0.170445684071075,0.175678037172
Gstt1,0.167149807849299,0.160174077467246,0.187289515802131,0.174240928662487
Atl3,0.172608677658556,0.164227544720411,0.155145233790685,0.151101383159784
Rpl14,0.186483051185433,0.189505234636705,0.11369320118842,0.191585650060621
Ctsc,0.176568615820008,0.165798038873026,0.169062663245918,0.21229905010669
Gpx1,0.164254941706229,0.164599274083412,0.199067825026949,0.174289320138878
Mydgf,0.210121549440688,0.187610898245174,0.176505766361981,0.157824389327438
Ndufa8,0.217148678919093,0.239961764177083,0.176986051632566,0.158276624799956
Hadh,0.164126841291239,0.156859783461632,0.198697280588452,0.164913355341289
Vcp,0.164257070709161,0.166247053785272,0.191407115448125,0.187544040597058
As3mt,0.196586872574966,0.179762216936494,0.150674620012073,0.186637991935642
Rps16,0.184191195949424,0.178486612768265,0.10989639623337,0.156855640536413
Mtarc2,0.177978113001975,0.177808157430351,0.124750816230406,0.176839447137319
Vps35,0.194968019674167,0.182160610570647,0.17049754780866,0.140187007038225
Hnrnpa2b1,0.171184407951594,0.172064090343563,0.184001367881295,0.179820750645781
Acp1,0.149844600994272,0.154448743774848,0.210698982533481,0.184115221786032
Ctsa,0.183014253456321,0.1771951323686,0.158406884355633,0.145605356036279
Dpp4,0.204340046874056,0.173860528111914,0.156978560278635,0.16869265777042
Hnrnph1,0.18004077653166,0.184456080586751,0.160696902082511,0.169275904622524
Mat1a,0.1765056829554,0.184690545245306,0.179044494041559,0.159458681454082
Hsd11b1,0.187964309582761,0.174509863899252,0.117664181261413,0.180686867447788
Pura,0.166400381316181,0.141604342236888,0.206645697638728,0.168854108718658
Gdi1,0.151926109495258,0.159843372310833,0.173051512485609,0.189946118481986
Rpl19,0.205262347413632,0.215434879077978,0.124487264435676,0.180411155557628
Uroc1,0.166785154341097,0.169194365043789,0.21415113171782,0.16624751191232
Rps6,0.178200665223937,0.179735331312994,0.141250242796058,0.167952169055844
Iqgap2,0.17199038571349,0.165565285904622,0.158611138537249,0.269852676007559
Rpl24,0.178825690343167,0.194318465796078,0.100164453294744,0.190943465388601
Arhgdia,0.172030225769601,0.187050462440677,0.221806264749568,0.174145977425856
Arpc5,0.150500670485629,0.171662670839619,0.220950954484492,0.183234094450398
Atp1a3,0.170516657548998,0.181187942954866,0.166602539331603,0.170113552746211
Ddt,0.18428134954149,0.168193233891161,0.164257592966993,0.164025148279978
Rpl27,0.177889441409529,0.180506512392105,0.140726945653815,0.174687860788638
Aldh5a1,0.184539830087228,0.166607989335678,0.176021293634113,0.149936883122569
Atp5pb,0.182420610989659,0.178771016037998,0.133340099776016,0.176293016398658
Csad,0.146343853772097,0.185594648314751,0.19402807136801,0.174945844152617
Etfdh,0.166060721306735,0.159175932527317,0.184467257042778,0.177160003698253
Hnrnpc,0.219306056499522,0.202793542741774,0.159130427265946,0.17653605048887
Mettl7a1,0.187736996986145,0.172585323668029,0.150809375809689,0.162785539880488
Hadhb,0.191094752066726,0.156070674778865,0.185572640244345,0.163716283789
Rab6b,0.174156017638093,0.18490508841978,0.145461993856462,0.172297782231894
Gm20390,0.165591076375948,0.158941684244344,0.19130431524277,0.161925192388437
Sec23a,0.175733013952466,0.191420687277974,0.164365589279777,0.158674049433266
Anp32a,0.186533115088439,0.226445628118714,0.185297353681377,0.1566241538451
Acly,0.19016274141813,0.180895175838626,0.191227362226775,0.15757083305575
Psmd2,0.153322121187989,0.17508579702252,0.155907632753307,0.145955586404611
Gstk1,0.164548052167667,0.163298423930327,0.175550682228538,0.180835472946687
Ppa2,0.172923480672565,0.171349513206691,0.184137738871701,0.179717825884563
Acox1,,,,
Rhoa,0.166639068085957,0.193568296078212,0.151108074467565,0.181141481317544
Npc2,0.150626861088545,0.166196666214323,0.189359738083899,0.172477639929939
Vapb,0.177775804152632,0.191357662908944,0.126966414207385,0.173995612906317
Msra,0.187527278903796,0.212078160664398,0.178451279879134,0.159046651555996
Rps15a,0.206166884780239,0.191570582718015,0.170246183509439,0.170070288229483
Ppif,0.175073118330736,0.164274719124558,0.202090237721118,0.184165918411661
Actn4,0.171378167540288,0.157405258944007,0.187514479909356,0.176861609635832
Gnb1,0.216139027114301,0.170881368404449,0.176437688788733,0.16890757755458
Cfl1,0.16484610235452,0.17664356273432,0.175655193320574,0.170549810112055
Ugt3a2,0.189129878782793,0.183324092982808,0.152226357130353,0.176707606344737
Dnaja2,0.14887486556036,0.15823063197269,0.182277589870859,0.178038724124014
Rpl32,0.180202066945268,0.175118904015621,0.1645782257346,0.158006231219183
Aldh1a7,0.162936777857103,0.163889087069609,0.188139860585873,0.169859344923835
Cyp4a10,0.195146484533148,0.173820485971104,0.152391964316083,0.16934419569884
P50136,0.166712025888388,0.167203796033177,0.172304044764609,0.172095889396402
Bdh1,0.165715692357114,0.161466384163853,0.183747807736532,0.173451266688553
Acot1,0.164518703805812,0.171640537953976,0.184831567839017,0.147098486165984
Tcp1,0.206309799307975,0.190040202867469,0.180556951391361,0.159620398250794
H2az2,0.177789805597311,0.176050308652896,0.160719058530394,0.162067590254325
Suox,0.185710388763722,0.17851177199182,0.163315840005745,0.157361162651873
Aldh7a1,0.166748860636256,0.153002018820412,0.218806451351965,0.15832913622898
Uba1,0.164594635564446,0.165683648783812,0.178304449285949,0.175506966033792
Prdx2,0.168627713710444,0.164092452086175,0.169134147419126,0.176950399086399
Sdha,0.17034705122903,0.162027419797138,0.188095591813527,0.162095108885879
Grhpr,0.156453129794643,0.161842466214025,0.200979866904008,0.163491222274828
Rpl18a,0.187212878309141,0.221001133575465,0.0794015651651932,0.204183876602952
Rpl17,0.191239457401757,0.178887363401163,0.108736322700891,0.184891163859332
Glrx5,0.157300193796156,0.170588785911176,0.188686544737711,0.176240463098104
Psmc5,0.171250063926056,0.171496893986519,0.184746622585606,0.165102409111311
Gnb2,0.165968948255007,0.148170379831718,0.213450466563521,0.185497920583567
Pccb,0.165904736566826,0.167596260319797,0.174201995117238,0.188292938213318
Psmd4,0.161986910889793,0.162403765518644,0.189197854725751,0.184760522143617
Mdh2,0.165645245922386,0.166736205198344,0.192408485147566,0.162239474284427
Ppia,0.156563413968305,0.172779315766904,0.211539506371367,0.160424137042433
Pgd,0.16015782360495,0.174018075617747,0.166630390232396,0.186394777464987
Cltb,0.173818196577116,0.160855405349233,0.184797320198412,0.167693048266166
Lmnb2,0.214517703843671,0.223909714236032,0.115786568902333,0.166606266920151
Hacl1,0.162436388253592,0.172509901625808,0.215119809917776,0.160151106728772
St13,0.159904048903235,0.160641274029899,0.182505267418796,0.165437535747202
Ass1,0.17651938005836,0.187363624939628,0.176440693895086,0.147631067287056
Cox4i1,0.186202844753235,0.169576677175217,0.152643551993526,0.173615799856833
Ndufb3,0.184881559958012,0.174537580513653,0.176624812460148,0.176957669866914
Dnah11,0.217713431829667,0.204670700004561,0.0453007987743644,0.177433622456556
Dbi,0.161259370478681,0.174087774311323,0.206365180344568,0.163352162951393
A0A075B6A0,0.149573531535941,0.159983857321366,0.162939237236942,0.207774108773192
Neb,0.224446961476884,0.206672077459846,0.16360669530778,0.148741608599816
Atp5a1,0.173547648172673,0.179547877737107,0.177721851970607,0.156692862351523
Q61941,0.200414914622984,0.164747977062527,0.128107252296535,0.171285334645379
Hyou1,0.157644399097739,0.154183410131538,0.179163607784947,0.181492293461575
Iigp1,0.210764957272832,0.173538563029779,0.116112204568562,0.193144085145748
Dst,0.169550077810503,0.18423294428781,0.120362356014507,0.167490736953544
Atp6v1a,0.210643804883691,0.202742257830434,0.169957588021223,0.139045740691187
Ndufa4,0.175623839416088,0.163377120906151,0.164679094262672,0.183645216300739
Aldh8a1,0.15883613319741,0.160451838462162,0.198050628779517,0.164970561977003
Ftl1,0.220315551947322,0.180803076939119,0.135326437024545,0.144436892218273
Ttr,0.187888246555886,0.187405527799276,0.149378612349708,0.163280965883562
Idh2,0.169045691617691,0.159355312547028,0.206250315352172,0.156653565452337
Rpl23,0.172056691625065,0.178153513249645,0.13442525311292,0.175090431326131
Lpp,0.173757790712678,0.229740850370905,0.169923087897283,0.174724671956014
Ugt2a3,0.183860984557984,0.171910943247188,0.119391423217012,0.167973004884437
Pls3,0.188934063564583,0.191233223285726,0.18331363395217,0.169293641269006
Atp2b3,0.204552717896544,0.206201498269872,0.110264069097008,0.156136174771229
Dstn,0.160639365989276,0.168927626253583,0.185556736137168,0.182292604459222
Suclg2,0.170496375397218,0.170091070600959,0.180994845788944,0.169586163814368
Ptbp1,0.190113269183097,0.196383933455536,0.157216489694762,0.180411939239731
Dhrs4,0.192444248194194,0.177491695624006,0.173641979295451,0.153019428119525
Tpm1,0.163294464468231,0.15972304708365,0.203164588058706,0.170609908373956
Stt3a,0.216264298107284,0.221558158735784,0.142782528502628,0.188580348367429
Cox6b1,0.166690117165472,0.163796122098373,0.194972565476017,0.167296477299577
Dnaja1,0.172679983518183,0.163560534941872,0.17178651934102,0.181779332528417
Dpys,0.185545252380733,0.185104246907422,0.184741862428475,0.148753354165775
